date,label,daily_pnl_usd,tp_hit,sl_hit,trades_count,anchor_price_10am,atr14_m5,atr_ratio_20d,morning_range_pts,morning_trend_pts,directional_intensity,range_to_atr_ratio,trend_to_atr_ratio,morning_vol_std,day_of_week
2022-07-12,skip,-150.86,False,False,5,1735.308,1.328,1.323,21.05,1.78,0.085,15.856,1.341,0.592,1
2022-07-13,skip,-21.62,False,False,2,1728.038,1.159,1.142,5.986,2.49,0.416,5.163,2.148,0.215,2
2022-07-14,trade,85.11,True,False,3,1729.164,1.418,1.361,8.954,5.134,0.573,6.313,3.619,0.21,3
2022-07-15,trade,-16.45,False,False,3,1712.594,1.326,1.274,7.38,2.296,0.311,5.566,1.732,0.187,4
2022-07-18,trade,82.3,False,False,5,1713.648,0.729,0.726,7.556,4.824,0.638,10.37,6.621,0.187,0
2022-07-19,trade,1.8,False,False,3,1706.814,0.812,0.806,3.6,1.03,0.286,4.434,1.269,0.147,1
2022-07-20,trade,24.85,True,False,2,1711.108,0.828,0.832,3.3,0.828,0.251,3.984,1.0,0.166,2
2022-07-21,trade,10.17,True,False,1,1692.508,1.017,1.02,6.06,3.35,0.553,5.958,3.294,0.214,3
2022-07-22,trade,7.67,True,False,1,1714.184,0.767,0.769,5.455,3.004,0.551,7.111,3.916,0.158,4
2022-07-25,trade,8.48,True,False,1,1727.198,0.848,0.851,7.73,1.17,0.151,9.112,1.379,0.188,0
2022-07-26,skip,-60.63,False,False,4,1725.268,0.89,0.89,9.926,6.78,0.683,11.156,7.62,0.189,1
2022-07-27,trade,45.17,True,False,3,1715.758,0.753,0.75,4.286,2.32,0.541,5.693,3.082,0.176,2
2022-07-28,trade,12.13,True,False,1,1737.808,1.213,1.186,7.696,2.43,0.316,6.343,2.003,0.219,3
2022-07-29,trade,7.83,True,False,1,1755.308,0.782,0.768,3.616,0.11,0.03,4.621,0.141,0.144,4
2022-08-01,skip,-92.36,False,False,6,1764.504,0.816,0.816,5.396,1.38,0.256,6.611,1.691,0.165,0
2022-08-02,skip,-20.87,False,False,2,1775.488,1.018,1.01,9.67,3.924,0.406,9.502,3.856,0.182,1
2022-08-03,skip,-46.82,False,False,4,1765.141,1.105,1.103,12.197,5.653,0.463,11.034,5.114,0.26,2
2022-08-04,trade,-7.44,False,False,3,1769.098,0.849,0.862,6.336,5.868,0.926,7.464,6.912,0.159,3
2022-08-05,trade,-1.08,False,False,2,1790.86,0.833,0.854,6.11,0.012,0.002,7.333,0.014,0.176,4
2022-08-08,trade,22.62,True,False,2,1773.514,0.754,0.784,4.334,0.114,0.026,5.748,0.151,0.148,0
2022-08-09,trade,39.81,True,False,3,1785.214,0.664,0.714,7.526,2.914,0.387,11.343,4.392,0.145,1
2022-08-10,skip,-79.02,False,False,6,1793.658,0.648,0.717,3.554,0.09,0.025,5.487,0.139,0.125,2
2022-08-11,trade,29.31,True,False,2,1785.248,0.977,1.108,7.93,5.78,0.729,8.118,5.917,0.16,3
2022-08-12,trade,21.53,False,False,5,1788.678,0.709,0.833,3.52,0.964,0.274,4.966,1.36,0.149,4
2022-08-15,trade,-0.68,False,False,3,1796.178,0.859,1.002,6.96,3.92,0.563,8.106,4.565,0.163,0
2022-08-16,trade,13.58,False,False,2,1782.368,0.882,1.025,5.976,3.95,0.661,6.776,4.479,0.149,1
2022-08-17,trade,20.47,True,False,2,1776.175,0.682,0.8,3.17,1.077,0.34,4.647,1.579,0.143,2
2022-08-18,trade,3.34,False,False,5,1765.088,0.702,0.838,5.346,3.0,0.561,7.612,4.272,0.145,3
2022-08-19,skip,-81.35,False,False,5,1757.394,0.983,1.159,5.57,0.176,0.032,5.666,0.179,0.178,4
2022-08-22,trade,7.91,True,False,1,1747.838,0.791,0.935,3.34,0.834,0.25,4.224,1.055,0.169,0
2022-08-23,trade,8.65,True,False,1,1738.388,0.865,1.025,6.379,2.79,0.437,7.371,3.224,0.177,1
2022-08-24,trade,7.16,True,False,1,1744.254,0.716,0.849,3.68,2.584,0.702,5.143,3.611,0.129,2
2022-08-25,trade,21.74,True,False,2,1755.731,0.725,0.886,6.746,4.583,0.679,9.31,6.325,0.138,3
2022-08-26,trade,6.33,True,False,1,1755.258,0.633,0.781,4.934,1.87,0.379,7.798,2.956,0.127,4
2022-08-29,skip,-30.05,False,False,5,1726.448,0.926,1.135,13.34,9.34,0.7,14.4,10.083,0.236,0
2022-08-30,trade,26.76,True,False,2,1735.918,0.892,1.102,6.633,1.516,0.229,7.437,1.7,0.179,1
2022-08-31,trade,10.15,True,False,1,1722.918,1.015,1.261,3.944,0.13,0.033,3.885,0.128,0.147,2
2022-09-01,trade,24.75,True,False,2,1704.494,0.825,1.026,9.044,6.564,0.726,10.961,7.956,0.158,3
2022-09-02,trade,7.96,True,False,1,1698.638,0.796,0.993,4.296,3.19,0.743,5.396,4.006,0.156,4
2022-09-05,trade,15.45,False,False,3,1711.108,0.925,1.142,5.09,1.014,0.199,5.5,1.096,0.163,0
2022-09-06,skip,-99.2,False,False,5,1719.628,0.817,0.998,14.248,6.78,0.476,17.447,8.302,0.213,1
2022-09-07,trade,23.64,False,False,3,1694.944,0.942,1.131,11.26,5.35,0.475,11.954,5.68,0.212,2
2022-09-08,trade,7.19,True,False,1,1714.958,0.72,0.877,5.78,3.0,0.519,8.033,4.17,0.167,3
2022-09-09,trade,8.15,True,False,1,1718.644,0.815,0.988,10.013,9.51,0.95,12.283,11.666,0.147,4
2022-09-12,trade,7.04,False,False,2,1713.778,0.721,0.881,6.594,5.68,0.861,9.14,7.873,0.147,0
2022-09-13,trade,9.52,True,False,1,1722.114,0.952,1.158,6.85,3.06,0.447,7.198,3.215,0.212,1
2022-09-14,trade,8.99,True,False,1,1701.544,0.899,1.079,6.34,0.304,0.048,7.055,0.338,0.19,2
2022-09-15,skip,-212.1,False,False,7,1693.508,0.871,1.035,5.081,3.84,0.756,5.834,4.409,0.139,3
2022-09-16,trade,9.88,True,False,1,1663.628,0.988,1.174,6.426,1.114,0.173,6.504,1.127,0.221,4
2022-09-19,skip,-34.76,False,False,4,1671.488,1.116,1.301,11.802,6.68,0.566,10.572,5.984,0.215,0
2022-09-20,trade,8.48,True,False,1,1676.615,0.848,0.989,6.025,1.247,0.207,7.108,1.471,0.158,1
2022-09-21,skip,-29.77,False,False,4,1664.835,0.805,0.934,3.916,0.303,0.077,4.864,0.376,0.164,2
2022-09-22,skip,-22.71,False,False,2,1663.682,1.508,1.674,14.983,7.296,0.487,9.938,4.839,0.269,3
2022-09-23,trade,8.45,True,False,1,1670.438,0.845,0.927,6.553,0.7,0.107,7.753,0.828,0.166,4
2022-09-26,trade,12.55,True,False,1,1639.918,1.255,1.353,19.25,3.934,0.204,15.336,3.134,0.582,0
2022-09-27,trade,8.48,True,False,1,1630.358,0.848,0.917,7.003,3.113,0.445,8.255,3.669,0.213,1
2022-09-28,trade,9.9,True,False,1,1624.785,0.99,1.071,7.542,5.073,0.673,7.615,5.122,0.224,2
2022-09-29,trade,11.08,True,False,1,1653.365,1.108,1.18,6.88,4.043,0.588,6.211,3.65,0.272,3
